,Title,Company,Work_Environment,Job_Description,When_Posted,Pay,City,State,Rating
36,Machine Learning Scientist (L4) - Content DSE,Netflix,,"Los Angeles, California Data Science and Engineering Netflix is one of the world's leading entertainment services with over 260 million paid memberships in…",Posted 11 days ago·,,Los Angeles,CA,
37,Data Scientist,Core Digital Media,Hybrid,Core Digital Media brands empower people to improve their financial lives every day. We are one of the largest advertisers on the internet and tens of…,Posted 30+ days ago·,,   Los Angeles,CA,
38,ML Ops Data Engineer 2 - Hybrid - Seattle,Nordstrom Inc,,Job Description About the role: We are seeking a highly motivated and skilled ML Ops Data Engineer to join our growing Data Science Engineering team. In…,Posted 21 days ago·,188500.0,Los Angeles,CA,
39,Staff Data Scientist Operations,LegalZoom,,About LegalZoom We're here to make legal help accessible to all. LegalZoom transformed the legal industry with the launch of our online services and…,Posted 30+ days ago·,,Glendale,CA,
40,PowerBI Reports Developer for Chemical Guys,Jenn Nguyen and Friends,,"Who are we? Chemical Guys is more than a brand. It's a lifestyle with a worldwide following driven by adventure, a passion for shine, and a love for the…",Active 3 days ago·,130000.0,Torrance,CA,
41,"Manager, Data Analytics",Disney,,"Manager, Data Analytics Apply Later Job ID 10066638 Location Burbank, California, United States Business Disney Music Group Date posted Nov. 10, 2023 Job…",Posted 30+ days ago·,,Burbank,CA,
42,Senior Data Scientist,sweetgreen - Bold Careers Page,,Sweetgreen is looking for a highly skilled and experienced Senior Data Scientist. This role is responsible for tackling complex business challenges across…,Posted 1 day ago·,170000.0,Los Angeles,CA,
43,Sentinel Principal Data Scientist – 12741,Northrop Grumman,,"Requisition ID: R10154267 Category: Research and Sciences Location: Manhattan Beach, California, United States of America Citizenship required: United States…",Today·,177000.0,Manhattan Beach,CA,
44,Lead Data Engineer (Machine Learning),ADP,,ADP is hiring a Lead Data Engineer. Are you empathetic to client needs and inspired by transformation and impacting the lives of millions of people every day…,Today,202590.0,,CA,3.8
45,Senior Data & NLP Engineer,LegalMation,,Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 4 days ag,160000.0,Los Angeles,CA,
46,Product Manager - TikTok Social,TikTok,,"1-3 years of experience in product management, data science, consulting, or equivalent roles.",Posted 30+ days ago·,223250.0,Los Angeles,CA,
47,"Lead Data Analyst, Influence Operations - USDS",TikTok,Hybrid,Able to create meaningful data visualizations.,Posted 30+ days ago·,220611.0,   Los Angeles,CA,
48,Data Science Instructor,UCLA Extension,,"Minimum MS degree in computer science, statistics, Information Technology or applied science.",Posted 30+ days ago·,,Los Angeles,CA,
49,Product Marketing Assistant Manager,Disney,,"Partner with the consumer insights, data science, and analytics teams to define goals and track the success of key launches and monitor results to inform future…",Posted 30+ days ago·,136700.0,Glendale,CA,
50,"Senior Director, Data Science",Red Bull,,3+ years' experience hiring and managing data science teams.,Posted 30+ days ago·,194250.0,Santa Monica,CA,
51,Senior Business Data Analyst,USC,,Identifies data sources and manages collection process; cleans data for input into business intelligence (BI) tools.,Posted 7 days ago·,113304.12,Los Angeles,CA,
52,"Analyst, Quality Analytics & Performance Improvement (Remote)",Molina Healthcare,Remote,"Work in an agile business environment to derive meaningful information out of complex as well as large organizational data sets through data analysis, data…",Posted 10 days ago·,,  Long Beach,CA,
53,Senior Live Product Data Analyst,TikTok,Hybrid,"Bachelor degree or above, major in mathematics, statistics, computer science is preferred; or major in science or engineering or engaged in data statistics,…",Posted 30+ days ago·,220611.0,   Los Angeles,CA,
54,"Manager, Data Engineering (Pricing)",EVgo,,Interest in performing other tasks such as data analysis and data validation.,Posted 1 day ago·,,Los Angeles,CA,
55,Data Scientist,AE Studio,,"Experience calling machine learning APIs via REST or client libraries - and determining that their responses lack wit, guile, and tact.",Posted 30+ days ago·,,Los Angeles,CA,
56,Staff Data Scientist,StubHub,Hybrid,"5+ years of relevant data science or machine learning experience and an MS. or Ph.D. degree in math, statistics, computer science, or other quantitative fields…",Posted 11 days ago·,,   Los Angeles,CA,
57,Senior Data Science Engineer,Relativity Space,,"Lead the exploration and adoption of new data science techniques and methodologies to solve complex, interdisciplinary problems in additive manufacturing.",Posted 12 days ago·,204000.0,Long Beach,CA,
